Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.048298,5.576796,159.501522,2626.45954,148.700213,455.35088,0.430036,1.56889,9.272247,0.88662,7.498151,0.00596,5.818668
0.048549,6.548555,157.989596,2624.867439,148.709173,454.383615,0.341508,1.626645,10.130935,0.876906,7.622563,0.005949,5.597482
0.048799,5.426205,163.91884,2625.116473,148.756917,454.884972,0.513745,1.968735,10.029199,0.893725,7.700359,0.005937,5.569319
0.049049,6.166452,158.499571,2623.950495,148.734211,455.044002,0.446819,1.993051,10.028821,0.898283,7.535671,0.005905,5.578115
0.049299,5.78824,170.412103,2625.12537,148.73388,455.48586,0.405522,2.297046,10.440425,0.899029,7.630475,0.005895,6.004519
0.04955,5.468432,153.383748,2626.780547,148.754418,455.914423,0.374655,2.153177,9.773038,0.88984,7.524438,0.005985,5.900364
0.0498,5.347758,156.049583,2626.952509,148.800748,455.628278,0.376366,2.075626,9.731089,0.88953,7.475193,0.005867,5.613777
0.05005,6.128946,159.67597,2627.608391,148.774764,455.024067,0.276685,2.449929,9.965711,0.878935,7.554801,0.005817,5.895204
0.0503,5.922682,160.052405,2627.821675,148.771859,454.768199,0.422864,2.049866,9.288245,0.899733,7.236184,0.00586,5.926628
0.050551,6.388677,154.661112,2628.570815,148.770673,454.966803,0.43135,2.449409,9.340722,0.919655,7.528751,0.005894,5.859556
