Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.027528,6.634112,216.424263,2600.369052,148.252656,452.571685,0.338696,0.806765,15.444188,0.705584,8.454258,0.006403,2.793436
0.027778,6.616187,215.766335,2600.670527,148.258151,452.604409,0.339666,0.822156,15.373352,0.709201,8.447028,0.006397,2.824133
0.028028,6.599015,215.107561,2600.972047,148.26366,452.637137,0.340605,0.837495,15.302644,0.71275,8.439677,0.00639,2.854934
0.028278,6.582529,214.448,2601.273617,148.26918,452.669868,0.341514,0.852782,15.232065,0.716234,8.432209,0.006384,2.885838
0.028529,6.566668,213.787709,2601.575239,148.274711,452.702603,0.342397,0.868018,15.161612,0.719652,8.424625,0.006378,2.916841
0.028779,6.551377,213.12674,2601.876916,148.280254,452.735342,0.343256,0.883202,15.091284,0.723008,8.416928,0.006372,2.94794
0.029029,6.536607,212.465143,2602.178647,148.285806,452.768085,0.344094,0.898337,15.021081,0.726302,8.409118,0.006366,2.979134
0.029279,6.522314,211.802966,2602.480429,148.291369,452.800831,0.344911,0.913422,14.951,0.729536,8.401198,0.00636,3.010419
0.02953,6.508456,211.140253,2602.78226,148.296941,452.833582,0.34571,0.92846,14.881042,0.732711,8.393169,0.006354,3.041792
0.02978,6.494997,210.477047,2603.084137,148.302522,452.866336,0.346492,0.94345,14.811204,0.73583,8.385032,0.006348,3.073251
0.03003,6.481904,209.813388,2603.386054,148.308112,452.899094,0.34726,0.958395,14.741485,0.738892,8.37679,0.006342,3.104794
0.03028,6.469148,209.149314,2603.688006,148.31371,452.931855,0.348013,0.973296,14.671886,0.741901,8.368442,0.006336,3.136416
0.030531,6.456701,208.48486,2603.989987,148.319317,452.96462,0.348755,0.988155,14.602403,0.744857,8.359991,0.00633,3.168116
0.030781,6.444539,207.820062,2604.291991,148.324931,452.99739,0.349485,1.002972,14.533038,0.747762,8.351438,0.006324,3.199891
0.031031,6.432639,207.154953,2604.594009,148.330554,453.030162,0.350205,1.01775,14.463788,0.750617,8.342783,0.006318,3.231739
0.031281,6.420981,206.489563,2604.896035,148.336183,453.062939,0.350916,1.03249,14.394653,0.753424,8.334029,0.006312,3.263657
0.031532,6.409546,205.823923,2605.198062,148.341821,453.095719,0.351619,1.047195,14.325632,0.756185,8.325175,0.006306,3.295641
0.031782,6.398319,205.158061,2605.50008,148.347465,453.128504,0.352314,1.061864,14.256723,0.7589,8.316222,0.0063,3.327691
0.032032,6.387283,204.492005,2605.802082,148.353116,453.161291,0.353002,1.076501,14.187927,0.761571,8.307173,0.006294,3.359803
0.032282,6.376425,203.825782,2606.104059,148.358774,453.194083,0.353684,1.091107,14.119242,0.7642,8.298027,0.006288,3.391976
0.032533,6.365732,203.159417,2606.406003,148.364438,453.226879,0.354361,1.105683,14.050668,0.766787,8.288786,0.006282,3.424206
0.032783,6.355193,202.492934,2606.707905,148.370109,453.259678,0.355032,1.120232,13.982203,0.769334,8.27945,0.006276,3.456491
0.033033,6.344796,201.826356,2607.009757,148.375786,453.292481,0.3557,1.134755,13.913847,0.771842,8.27002,0.00627,3.48883
0.033283,6.334532,201.159708,2607.31155,148.38147,453.325287,0.356364,1.149254,13.8456,0.774313,8.260496,0.006264,3.52122
0.033534,6.324392,200.49301,2607.613275,148.387159,453.358098,0.357024,1.163729,13.777461,0.776747,8.250881,0.006258,3.553658
0.033784,6.314368,199.826284,2607.914924,148.392855,453.390912,0.357681,1.178184,13.709429,0.779146,8.241174,0.006252,3.586143
0.034034,6.304452,199.15955,2608.216487,148.398556,453.42373,0.358335,1.19262,13.641503,0.781511,8.231375,0.006246,3.618673
0.034284,6.294636,198.492828,2608.517957,148.404263,453.456552,0.358988,1.207038,13.573683,0.783842,8.221487,0.00624,3.651246
0.034535,6.284916,197.826137,2608.819325,148.409976,453.489378,0.359638,1.221439,13.505968,0.786142,8.211509,0.006235,3.683859
0.034785,6.275284,197.159497,2609.120582,148.415694,453.522207,0.360287,1.235826,13.438359,0.78841,8.201441,0.006229,3.716512
0.035035,6.265734,196.492925,2609.42172,148.421418,453.55504,0.360935,1.2502,13.370853,0.790648,8.191285,0.006223,3.749201
0.035285,6.256263,195.826439,2609.722731,148.427147,453.587877,0.361581,1.264563,13.303452,0.792857,8.181042,0.006217,3.781925
0.035536,6.246864,195.160055,2610.023606,148.432882,453.620717,0.362227,1.278916,13.236153,0.795037,8.170711,0.006211,3.814682
0.035786,6.237534,194.493792,2610.324337,148.438622,453.653562,0.362873,1.29326,13.168958,0.79719,8.160293,0.006205,3.84747
0.036036,6.228269,193.827665,2610.624916,148.444367,453.68641,0.363518,1.307597,13.101865,0.799317,8.149789,0.0062,3.880289
0.036286,6.219063,193.16169,2610.925335,148.450117,453.719261,0.364163,1.321928,13.034875,0.801417,8.1392,0.006194,3.913135
0.036537,6.209914,192.495882,2611.225586,148.455873,453.752117,0.364808,1.336256,12.967986,0.803493,8.128525,0.006188,3.946008
0.036787,6.200819,191.830257,2611.525661,148.461633,453.784976,0.365454,1.35058,12.901199,0.805544,8.117766,0.006182,3.978905
0.037037,6.191773,191.16483,2611.825553,148.467399,453.817839,0.3661,1.364904,12.834512,0.807571,8.106923,0.006176,4.011826
0.037287,6.182775,190.499614,2612.125253,148.473169,453.850706,0.366747,1.379227,12.767927,0.809576,8.095996,0.006171,4.044767
0.037538,6.173821,189.834625,2612.424755,148.478945,453.883577,0.367395,1.393551,12.701441,0.811559,8.084986,0.006165,4.077729
0.037788,6.164908,189.169875,2612.72405,148.484725,453.916451,0.368044,1.407879,12.635056,0.81352,8.073893,0.006159,4.11071
0.038038,6.156034,188.50538,2613.023131,148.49051,453.949329,0.368694,1.42221,12.568771,0.81546,8.062719,0.006153,4.143707
0.038288,6.147197,187.841151,2613.321992,148.496299,453.982211,0.369346,1.436546,12.502586,0.81738,8.051462,0.006148,4.17672
0.038539,6.138394,187.177203,2613.620624,148.502094,454.015096,0.369999,1.450889,12.4365,0.81928,8.040124,0.006142,4.209747
0.038789,6.129623,186.513547,2613.91902,148.507893,454.047985,0.370654,1.46524,12.370513,0.821161,8.028705,0.006136,4.242787
0.039039,6.120883,185.850197,2614.217175,148.513697,454.080878,0.371311,1.479599,12.304626,0.823023,8.017206,0.00613,4.275838
0.039289,6.11217,185.187166,2614.515079,148.519505,454.113775,0.37197,1.493969,12.238837,0.824867,8.005627,0.006125,4.308899
0.03954,6.103484,184.524464,2614.812727,148.525318,454.146675,0.37263,1.50835,12.173147,0.826694,7.993968,0.006119,4.341969
0.03979,6.094823,183.862104,2615.110112,148.531136,454.179579,0.373293,1.522744,12.107555,0.828503,7.98223,0.006113,4.375046
0.04004,6.086184,183.200099,2615.407226,148.536958,454.212487,0.373959,1.537151,12.042062,0.830296,7.970413,0.006107,4.408129
0.04029,6.077567,182.538459,2615.704064,148.542785,454.245398,0.374627,1.551573,11.976667,0.832073,7.958518,0.006102,4.441217
0.040541,6.06897,181.877196,2616.000618,148.548616,454.278313,0.375297,1.566011,11.91137,0.833833,7.946545,0.006096,4.474308
0.040791,6.060392,181.216321,2616.296882,148.554451,454.311232,0.37597,1.580466,11.846171,0.835578,7.934494,0.00609,4.507402
0.041041,6.05183,180.555846,2616.59285,148.560291,454.344154,0.376646,1.594939,11.78107,0.837309,7.922366,0.006085,4.540497
0.041291,6.043285,179.895781,2616.888515,148.566135,454.377081,0.377325,1.609432,11.716067,0.839024,7.910161,0.006079,4.573591
0.041542,6.034754,179.236138,2617.18387,148.571984,454.410011,0.378007,1.623944,11.651161,0.840725,7.89788,0.006073,4.606685
0.041792,6.026236,178.576926,2617.478909,148.577836,454.442944,0.378692,1.638478,11.586354,0.842413,7.885523,0.006068,4.639776
0.042042,6.01773,177.918157,2617.773626,148.583694,454.475881,0.37938,1.653034,11.521643,0.844086,7.87309,0.006062,4.672863
0.042292,6.009236,177.259841,2618.068015,148.589555,454.508822,0.380071,1.667614,11.457031,0.845747,7.860582,0.006056,4.705946
0.042543,6.000751,176.601988,2618.36207,148.595421,454.541767,0.380767,1.682218,11.392516,0.847394,7.847999,0.006051,4.739023
0.042793,5.992276,175.944608,2618.655784,148.601291,454.574715,0.381465,1.696848,11.328098,0.849029,7.835342,0.006045,4.772093
0.043043,5.983809,175.287712,2618.949151,148.607165,454.607667,0.382168,1.711503,11.263778,0.850651,7.82261,0.006039,4.805155
0.043293,5.975348,174.63131,2619.242166,148.613043,454.640623,0.382874,1.726187,11.199555,0.852261,7.809804,0.006034,4.838208
0.043544,5.966894,173.97541,2619.534822,148.618925,454.673582,0.383584,1.740898,11.13543,0.853859,7.796925,0.006028,4.871251
0.043794,5.958446,173.320024,2619.827113,148.624812,454.706545,0.384298,1.755639,11.071402,0.855445,7.783973,0.006023,4.904283
0.044044,5.950001,172.66516,2620.119034,148.630702,454.739511,0.385016,1.77041,11.007471,0.85702,7.770948,0.006017,4.937303
0.044294,5.941561,172.010828,2620.410579,148.636597,454.772481,0.385738,1.785212,10.943638,0.858584,7.75785,0.006011,4.970309
0.044545,5.933124,171.357038,2620.701742,148.642496,454.805455,0.386464,1.800047,10.879903,0.860137,7.744681,0.006006,5.003301
0.044795,5.924688,170.703799,2620.992516,148.648399,454.838433,0.387195,1.814914,10.816265,0.861679,7.73144,0.006,5.036278
0.045045,5.916255,170.051121,2621.282897,148.654306,454.871414,0.38793,1.829816,10.752724,0.86321,7.718127,0.005994,5.069239
0.045295,5.907822,169.399012,2621.572879,148.660217,454.904398,0.38867,1.844752,10.689281,0.864731,7.704743,0.005989,5.102183
0.045546,5.899389,168.747482,2621.862456,148.666132,454.937387,0.389415,1.859724,10.625936,0.866242,7.691289,0.005983,5.135108
0.045796,5.890956,168.09654,2622.151622,148.672051,454.970378,0.390164,1.874733,10.562688,0.867742,7.677764,0.005978,5.168014
0.046046,5.882521,167.446194,2622.440372,148.677974,455.003374,0.390919,1.889779,10.499538,0.869233,7.66417,0.005972,5.200901
0.046296,5.874085,166.796454,2622.728701,148.6839,455.036373,0.391678,1.904863,10.436485,0.870714,7.650505,0.005967,5.233766
0.046547,5.865647,166.147329,2623.016602,148.689831,455.069376,0.392442,1.919987,10.373531,0.872186,7.636772,0.005961,5.266609
0.046797,5.857205,165.498828,2623.30407,148.695766,455.102382,0.393212,1.935151,10.310674,0.873648,7.622969,0.005955,5.29943
0.047047,5.848761,164.850958,2623.5911,148.701704,455.135392,0.393987,1.950356,10.247915,0.8751,7.609098,0.00595,5.332226
0.047297,5.840312,164.20373,2623.877686,148.707647,455.168405,0.394767,1.965602,10.185254,0.876544,7.595159,0.005944,5.364998
0.047548,5.831859,163.557151,2624.163823,148.713593,455.201422,0.395553,1.980891,10.122691,0.877978,7.581151,0.005939,5.397744
0.047798,5.823401,162.91123,2624.449506,148.719543,455.234443,0.396344,1.996224,10.060227,0.879404,7.567076,0.005933,5.430464
0.048048,5.814938,162.265976,2624.734728,148.725497,455.267467,0.397141,2.011601,9.99786,0.880821,7.552934,0.005928,5.463157
0.048298,5.806469,161.621397,2625.019486,148.731455,455.300495,0.397944,2.027023,9.935592,0.882229,7.538725,0.005922,5.495821
0.048549,5.797993,160.977501,2625.303773,148.737416,455.333526,0.398753,2.042491,9.873423,0.883628,7.524449,0.005916,5.528456
0.048799,5.789511,160.334297,2625.587584,148.743382,455.366561,0.399567,2.058005,9.811352,0.885019,7.510107,0.005911,5.56106
0.049049,5.781022,159.691793,2625.870914,148.749351,455.399599,0.400388,2.073567,9.749379,0.886402,7.495699,0.005905,5.593634
0.049299,5.772525,159.049998,2626.153758,148.755323,455.432641,0.401216,2.089177,9.687505,0.887776,7.481226,0.0059,5.626176
0.04955,5.764021,158.40892,2626.436109,148.7613,455.465686,0.402049,2.104837,9.62573,0.889142,7.466687,0.005894,5.658686
0.0498,5.755508,157.768567,2626.717964,148.76728,455.498735,0.402889,2.120546,9.564054,0.890499,7.452083,0.005889,5.691162
0.05005,5.746987,157.128947,2626.999317,148.773264,455.531788,0.403736,2.136306,9.502478,0.891849,7.437415,0.005883,5.723603
0.0503,5.738457,156.490068,2627.280163,148.779251,455.564843,0.404589,2.152117,9.441,0.893191,7.422683,0.005878,5.75601
0.050551,5.729917,155.851938,2627.560497,148.785243,455.597903,0.40545,2.16798,9.379621,0.894524,7.407887,0.005872,5.78838
0.050801,5.721368,155.214566,2627.840312,148.791237,455.630966,0.406317,2.183896,9.318342,0.89585,7.393027,0.005867,5.820713
