Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.034284,6.199683,200.134004,2608.548473,148.40653,453.40555,0.344463,1.269135,13.606389,0.783837,8.198249,0.006251,3.669318
0.034535,6.165451,199.401983,2608.792884,148.411276,453.452004,0.344805,1.2903,13.535488,0.785784,8.19329,0.006244,3.69432
0.034785,6.159265,198.446785,2609.032706,148.418816,453.493422,0.348874,1.318284,13.458787,0.788436,8.186984,0.006237,3.740807
0.035035,6.147697,197.75709,2609.283038,148.423491,453.47907,0.350099,1.350865,13.386661,0.79028,8.182776,0.006233,3.767818
0.035285,6.165958,197.16412,2609.593482,148.429544,453.525603,0.356087,1.360082,13.307802,0.792523,8.180187,0.006227,3.801973
0.035536,6.190318,196.390132,2609.962702,148.435981,453.588183,0.356861,1.374044,13.211246,0.794642,8.178007,0.006219,3.834354
0.035786,6.199092,195.480347,2610.299531,148.442512,453.640707,0.363892,1.382352,13.138232,0.796663,8.173105,0.006215,3.873781
0.036036,6.194806,194.925221,2610.623611,148.448471,453.66735,0.363353,1.403435,13.079619,0.798055,8.16543,0.00621,3.90588
0.036286,6.217213,194.277729,2611.025509,148.452586,453.721537,0.365966,1.403412,12.995778,0.800365,8.163544,0.006202,3.942846
0.036537,6.218406,193.520645,2611.434401,148.460744,453.751957,0.369612,1.423882,12.93705,0.802284,8.156849,0.006195,3.972269
0.036787,6.198378,192.822822,2611.919196,148.466093,453.804178,0.372724,1.444244,12.849135,0.804083,8.139382,0.006188,4.002645
0.037037,6.18508,192.176402,2612.286346,148.472395,453.824933,0.372823,1.476642,12.78814,0.806381,8.13295,0.00618,4.032015
0.037287,6.178095,191.371242,2612.558867,148.478991,453.844066,0.36951,1.47229,12.715643,0.80848,8.115305,0.006173,4.069741
0.037538,6.171479,190.491932,2612.842571,148.485344,453.914295,0.363,1.472902,12.64044,0.810562,8.099211,0.006166,4.105119
0.037788,6.160185,189.75381,2613.132844,148.4929,453.932083,0.369144,1.496557,12.57814,0.812293,8.093225,0.00616,4.133212
0.038038,6.149894,188.855468,2613.458124,148.498921,453.978396,0.370503,1.499479,12.509064,0.814357,8.089045,0.006154,4.156467
0.038288,6.140866,187.84152,2613.790506,148.503692,453.993376,0.366732,1.498165,12.446735,0.816439,8.082287,0.006145,4.189215
0.038539,6.127964,187.193868,2613.937202,148.509475,454.039586,0.361729,1.506503,12.373759,0.818471,8.070806,0.006137,4.222638
0.038789,6.157727,186.492552,2614.140448,148.517266,454.087968,0.362454,1.509433,12.306979,0.820815,8.056605,0.006128,4.255769
0.039039,6.180955,185.680137,2614.345455,148.52066,454.118203,0.367036,1.510645,12.25584,0.822708,8.044476,0.006122,4.298164
0.039289,6.151767,185.037755,2614.679843,148.526718,454.133334,0.365849,1.526373,12.152168,0.824289,8.039588,0.006118,4.341765
0.03954,6.144964,184.108519,2614.961364,148.533314,454.135681,0.362229,1.533771,12.099749,0.826652,8.023885,0.006113,4.376486
0.03979,6.135973,183.291444,2615.295231,148.538536,454.195484,0.362632,1.533558,12.004859,0.828995,8.015753,0.00611,4.428247
0.04004,6.151071,182.562095,2615.576726,148.544117,454.251899,0.362545,1.543899,11.93066,0.83061,8.003509,0.006105,4.460895
0.04029,6.117724,181.952254,2615.98444,148.549572,454.305787,0.36912,1.55642,11.864824,0.832524,8.000972,0.006099,4.488788
0.040541,6.078656,181.177668,2616.301284,148.556055,454.295246,0.36669,1.543475,11.778852,0.833431,7.975907,0.006094,4.525544
0.040791,6.071518,180.770973,2616.551447,148.562028,454.321129,0.365341,1.551907,11.73549,0.835815,7.96686,0.006087,4.5658
0.041041,6.043575,180.00205,2616.835483,148.566189,454.360753,0.365822,1.549133,11.669357,0.83708,7.948239,0.006079,4.601297
0.041291,6.028168,179.581652,2617.189114,148.572563,454.37974,0.370577,1.559527,11.642634,0.838664,7.937283,0.006074,4.652964
0.041542,6.019071,178.902083,2617.457586,148.578386,454.389659,0.369785,1.575602,11.567841,0.839668,7.932284,0.006068,4.677516
0.041792,6.004695,178.228303,2617.841683,148.584491,454.430435,0.369767,1.587097,11.525717,0.841656,7.920851,0.006061,4.71691
0.042042,5.999932,177.661068,2618.109394,148.590989,454.456267,0.366059,1.614302,11.469383,0.843791,7.906925,0.006054,4.741561
0.042292,5.982525,176.996674,2618.466836,148.597382,454.511117,0.368144,1.628557,11.40481,0.845794,7.888352,0.006046,4.76927
0.042543,5.972626,176.172835,2618.824172,148.602347,454.562191,0.368215,1.639148,11.354228,0.847771,7.865126,0.00604,4.794067
0.042793,5.927326,175.257516,2619.200351,148.608545,454.598321,0.369432,1.6474,11.29592,0.849159,7.846892,0.006036,4.83309
0.043043,5.915691,174.451307,2619.548926,148.613606,454.603171,0.366809,1.652075,11.230438,0.850643,7.831488,0.006031,4.851126
0.043293,5.889587,174.027209,2619.898062,148.61887,454.608509,0.371182,1.664363,11.173889,0.853016,7.81856,0.006024,4.883223
0.043544,5.883943,173.65748,2620.159572,148.623326,454.648835,0.374528,1.683235,11.100156,0.854645,7.79734,0.006019,4.927041
