Time,dS_S,dX_S,dX_BH,dX_BA,dX_P,dS_O,dS_NO,dS_NH,dS_ND,dX_ND,dS_ALK,dS_N2
day,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg O2/l/d,mg N/l/d,mg N/l/d,mg N/l/d,mg N/l/d,eq ALK/l/d,mg N/l/d
0.028779,-60.030175,-2642.518675,1205.608131,22.167815,130.832458,3.387495,60.577042,-280.780422,13.285157,-30.98447,-0.024383,124.464014
0.029029,-58.041112,-2644.930138,1205.819892,22.208181,130.847491,3.303914,60.378647,-280.28674,13.041813,-31.429055,-0.024333,124.834071
0.029279,-56.221738,-2647.158187,1206.022444,22.246904,130.862526,3.227858,60.184407,-279.797646,12.804523,-31.867332,-0.024284,125.193133
0.02953,-54.55577,-2649.212672,1206.211481,22.284118,130.877563,3.158683,59.99485,-279.313029,12.573321,-32.299648,-0.024236,125.541231
0.02978,-53.028554,-2651.102687,1206.383276,22.319945,130.892603,3.095799,59.810424,-278.832773,12.348217,-32.726324,-0.024189,125.878423
0.03003,-51.626905,-2652.836635,1206.534627,22.354496,130.907646,3.038664,59.631508,-278.356759,12.129193,-33.147658,-0.024142,126.204793
0.03028,-50.338964,-2654.422278,1206.662792,22.387871,130.92269,2.986784,59.458415,-277.88487,11.916212,-33.563924,-0.024096,126.520449
0.030531,-49.154072,-2655.866799,1206.765441,22.420162,130.937735,2.93971,59.291403,-277.416983,11.709216,-33.975374,-0.024051,126.825513
0.030781,-48.062642,-2657.176845,1206.840607,22.451453,130.952782,2.897029,59.130679,-276.952979,11.508134,-34.382243,-0.024006,127.120125
0.031031,-47.05606,-2658.358571,1206.886643,22.48182,130.967829,2.858369,58.976407,-276.492734,11.31288,-34.784747,-0.023962,127.404437
0.031281,-46.12658,-2659.417688,1206.902189,22.51133,130.982878,2.82339,58.828714,-276.036128,11.123356,-35.183087,-0.023919,127.67861
0.031532,-45.267237,-2660.359492,1206.886128,22.540048,130.997926,2.791785,58.68769,-275.583038,10.939455,-35.577448,-0.023876,127.942814
0.031782,-44.47177,-2661.188907,1206.837565,22.56803,131.012974,2.763273,58.553398,-275.133343,10.761063,-35.968002,-0.023835,128.197224
0.032032,-43.734544,-2661.910507,1206.755792,22.595328,131.028021,2.737603,58.425875,-274.686925,10.588059,-36.35491,-0.023794,128.442022
0.032282,-43.050489,-2662.528553,1206.640269,22.62199,131.043067,2.714544,58.305136,-274.243662,10.420317,-36.738319,-0.023753,128.677391
0.032533,-42.415039,-2663.047015,1206.4906,22.64806,131.058111,2.693888,58.191177,-273.803439,10.257705,-37.118368,-0.023714,128.903514
0.032783,-41.824083,-2663.469596,1206.306511,22.673577,131.073153,2.675448,58.083977,-273.36614,10.100093,-37.495185,-0.023675,129.120578
0.033033,-41.273913,-2663.799755,1206.087838,22.698577,131.088193,2.659053,57.983504,-272.931649,9.947344,-37.86889,-0.023637,129.328768
0.033283,-40.761185,-2664.040725,1205.83451,22.723094,131.103231,2.644548,57.88971,-272.499855,9.799323,-38.239593,-0.023599,129.528267
0.033534,-40.282879,-2664.195532,1205.546532,22.747158,131.118264,2.631795,57.802542,-272.070648,9.655893,-38.607399,-0.023562,129.719259
0.033784,-39.836269,-2664.267012,1205.223979,22.770798,131.133294,2.620667,57.721936,-271.64392,9.516918,-38.972405,-0.023526,129.901922
